y1[px],y2[px],x1[px],x2[px],instru[px],x1_center[px],instru2[px],x2_center[px],wavelength1[nm],wavelength2[nm],linear dispersion,number in each channel,band,final ch,check ch,signal quality,comment,Group,Probe number,Ar_line,Ar_line[px]
449,442.0,267.0,609.0,26.97907788801576,268.7188703180274,27.15352616764782,613.1977206351687,480.7019,479.2619,0.004180227606641961,15.0,green,79.0,18.0,not very good,the peak is not smooth enough,Group1,14-30,292.61230613031245,293
469,465.0,267.0,609.0,26.96318557747536,268.3735960872108,26.66747447859091,611.3438778993818,480.7019,479.2619,0.004198614504998481,14.0,green,78.0,19.0,good,pretty reasonable line shape,Group1,7-30,292.1623959118038,292
494,488.0,267.0,609.0,25.29533907480394,271.0530507234709,28.35187294513007,615.3210017902346,480.7019,479.2619,0.004182788422616601,13.0,green,77.0,20.0,not very good,the line shape is not smooth enough,Group1,14-0,294.9318583294172,295
515,510.0,267.0,609.0,24.02888676703889,265.5345785817725,24.01268953703284,609.8701137568816,480.7019,479.2619,0.004181967450056229,12.0,green,76.0,21.0,good,good line shape,Group1,7-0,289.41807389656714,289
559,554.0,267.0,609.0,26.94324295568859,268.5632381265484,27.00434722092461,612.5986282951797,480.7019,479.2619,0.004185615902172657,10.0,green,74.0,23.0,good,the peak is not perfect,Group2,13-30,292.42591505019925,292
583,578.0,267.0,609.0,27.74505828531183,267.82533499687,27.78019832172756,610.0305255863672,480.7019,479.2619,0.00420800163059886,9.0,green,73.0,24.0,good,the peak is not perfect,Group2,6-30,291.561067244157,292
602,598.0,267.0,609.0,27.08174446249119,265.0530089844542,25.27114289924801,607.7458672516236,480.7019,479.2619,0.00420201345099917,8.0,green,72.0,25.0,good,the peak is not perfect,Group2,13-0,288.8225664037175,289
625,619.0,267.0,609.0,26.25091324130421,267.2818874914306,29.20055848466132,610.1397485009593,480.7019,479.2619,0.004199991202651693,7.0,green,71.0,26.0,good,the line shape is not perfect,Group2,6-0,291.06288968424036,291
646,640.0,267.0,609.0,26.23142534569742,265.3416116810536,29.13108459384761,609.1628458486464,480.7019,479.2619,0.004188222997588572,6.0,green,70.0,27.0,good,the peak is not perfect,Group3,12-30,289.1894345065213,289
667,662.0,267.0,609.0,22.61134397300354,269.1573786903691,18.45533511091412,612.3133358853063,480.7019,479.2619,0.004196342711841585,5.0,green,69.0,28.0,good,the line shape is not perfect,Group3,5-30,292.9590571658168,293
708,704.0,267.0,609.0,23.86970344733877,264.947783268206,22.26130042954598,608.4227042811909,480.7019,479.2619,0.00419244582909609,3.0,green,67.0,30.0,not very good,"the line shape is good, but dot is tilted",Group3,12-0,288.7715854284777,289
731,728.0,267.0,609.0,23.75202184728333,263.8538807926509,24.10166514922035,605.7642429178369,480.7019,479.2619,0.004211630180055089,2.0,green,66.0,31.0,not very good,"the line shape is good, but dot is tilted",Group3,5-0,287.56916341006604,288
140,137.0,222.0,760.0,19.66912228917547,219.6803904587243,19.41265408894741,756.9928251488622,482.9708,480.7019,0.004222682844309053,29.0,red,29.0,4.0,perfect,perfect,Group4,11-30,780.6460341826996,781
160,157.0,222.0,760.0,18.88136572939766,221.2335153797205,18.46056717448694,758.7567918309859,482.9708,480.7019,0.004221026510664387,28.0,red,28.0,5.0,good,the peak is kind of weired,Group4,4-30,782.4192823999733,782
184,180.0,222.0,760.0,17.43453638692117,224.1175938380532,17.93261792199494,761.3765948892884,482.9708,480.7019,0.00422310281551449,27.0,red,27.0,6.0,perfect,perfect,Group4,11-0,785.0274517031719,785
207,203.0,222.0,760.0,20.89096093920671,225.6015386580962,20.68702032328597,763.1294926886626,482.9708,480.7019,0.00422098977920496,26.0,red,26.0,7.0,good,the peak is skewed,Group4,4-0,786.7921891709208,787
270,265.0,222.0,760.0,21.86539605428599,223.222265816628,21.58458331928481,761.3137630616484,482.9708,480.7019,0.004216569136692432,23.0,red,23.0,10.0,good,not very perfect,Group5,10-30,785.001267466803,785
289,285.0,222.0,760.0,23.25508655083127,223.377957138703,23.42460950164381,761.5566360677136,482.9708,480.7019,0.00421588607804966,22.0,red,22.0,11.0,not so good,weired line shape,Group5,3-30,785.2479783267169,785
341,335.0,222.0,760.0,21.71560218763187,229.2805640373358,20.85092452343821,767.4580467942681,482.9708,480.7019,0.00421589544842537,20.0,red,20.0,13.0,not so good,the line shape is skewed,Group5,10-0,791.1493363961832,791
360,355.0,222.0,760.0,24.68371322335328,226.0862600467989,23.62128307989484,764.4361865110802,482.9708,480.7019,0.00421454501703273,19.0,red,19.0,14.0,good,not very perfect,Group5,3-0,788.1350673146746,788
382,377.0,222.0,760.0,20.38163390342804,222.8758833981809,20.91118329949432,760.9728285368521,482.9708,480.7019,0.00421652644657788,18.0,red,18.0,15.0,perfect,perfect,Group6,9-30,784.6605727655416,785
426,420.0,222.0,760.0,22.86525852805222,224.7664350087231,21.5293718460696,763.2437358525517,482.9708,480.7019,0.004213548085396472,16.0,red,16.0,17.0,good,skewed dot,Group6,2-30,786.9482238459865,787
472,465.0,222.0,760.0,24.53889162633348,224.348844167951,23.2598849627587,762.2165995718603,482.9708,480.7019,0.00421832314208193,14.0,red,14.0,19.0,good,slightly broken peak,Group6,9-0,785.8942545631625,786
492,486.0,222.0,760.0,25.79160745879496,226.8719185031347,23.94797800513053,765.0476715451975,482.9708,480.7019,0.00421590899845434,13.0,red,13.0,20.0,not very good,skewed dot,Group6,2-0,788.7388850027604,789
579,572.0,222.0,760.0,28.14519465389369,222.80677975538,26.87992213003058,760.4882572653055,482.9708,480.7019,0.004219784565589932,9.0,red,9.0,24.0,bad/finally this,skewed dot,Group7,8-30,784.1577120556067,784
599,593.0,222.0,760.0,27.17321880324543,223.6508371380526,25.52378301165583,761.3068572984675,482.9708,480.7019,0.004219984367185222,8.0,red,8.0,25.0,good,good line shape,Group7,1-30,784.975191422336,785
625,618.0,222.0,760.0,24.31155924081423,222.8901451737402,23.20252055694893,760.0304570124083,482.9708,480.7019,0.004224035973456122,7.0,red,7.0,26.0,perfect,perfect,Group7,8-0,783.6760889690697,784
667,660.0,222.0,760.0,27.39864463789282,219.6849946190612,25.64515207692311,756.5916304401445,482.9708,480.7019,0.00422587438601905,5.0,red,5.0,28.0,not very good,the peak is flat,Group7,1-0,780.2269756672732,780
